Wavelength	67481<10	sd	67481 10-20	sd	67481 20-45	sd	67481 <45	sd
1425.0	0.51756	0.0045020	0.43633	0.0042430	0.32161	0.0036190	0.43099	0.0058110
1430.0	0.51743	0.0049510	0.43709	0.0042230	0.32234	0.0037330	0.43219	0.0059770
1435.0	0.51908	0.0053070	0.43821	0.0048790	0.32308	0.0040810	0.43263	0.0069850
1440.0	0.51969	0.0055010	0.43926	0.0045930	0.32416	0.0045450	0.43400	0.0075210
1445.0	0.51996	0.0051230	0.43967	0.0044790	0.32536	0.0042640	0.43435	0.0066060
1450.0	0.52127	0.0047290	0.44064	0.0045160	0.32629	0.0043860	0.43517	0.0063010
1455.0	0.52235	0.0052580	0.44086	0.0050050	0.32721	0.0042140	0.43574	0.0051700
1460.0	0.52215	0.0048040	0.44209	0.0044130	0.32806	0.0037430	0.43741	0.0052390
1465.0	0.52297	0.0049610	0.44315	0.0046280	0.32908	0.0039990	0.43804	0.0058640
1470.0	0.52309	0.0050520	0.44398	0.0045830	0.32997	0.0035220	0.43905	0.0062350
1475.0	0.52517	0.0050750	0.44485	0.0048610	0.33066	0.0041970	0.43804	0.0071510
1480.0	0.52579	0.0050750	0.44557	0.0047600	0.33148	0.0043670	0.43911	0.0069600
1485.0	0.52597	0.0049340	0.44604	0.0044860	0.33241	0.0039380	0.44037	0.0064330
1490.0	0.52759	0.0047980	0.44649	0.0044300	0.33313	0.0037570	0.44119	0.0064620
1495.0	0.52720	0.0052210	0.44692	0.0047910	0.33369	0.0046250	0.44089	0.0055700
1500.0	0.52843	0.0050630	0.44835	0.0046740	0.33439	0.0040720	0.44287	0.0060950
1505.0	0.52930	0.0051700	0.44871	0.0046370	0.33490	0.0038000	0.44276	0.0061240
1510.0	0.53024	0.0048400	0.45039	0.0044100	0.33554	0.0038740	0.44336	0.0059260
1515.0	0.53064	0.0049910	0.45036	0.0045380	0.33621	0.0036950	0.44364	0.0069450
1520.0	0.53053	0.0051640	0.45074	0.0048480	0.33683	0.0040050	0.44383	0.0070860
1525.0	0.53140	0.0050110	0.45167	0.0043890	0.33735	0.0043880	0.44520	0.0063190
1530.0	0.53254	0.0049800	0.45260	0.0046660	0.33768	0.0041400	0.44592	0.0065010
1535.0	0.53317	0.0045300	0.45297	0.0042500	0.33825	0.0042390	0.44649	0.0061340
1540.0	0.53475	0.0048460	0.45428	0.0047820	0.33894	0.0037580	0.44735	0.0060480
1545.0	0.53464	0.0051020	0.45478	0.0049160	0.33964	0.0037850	0.44709	0.0062610
1550.0	0.53587	0.0050420	0.45554	0.0045940	0.34043	0.0039140	0.44788	0.0064160
1555.0	0.53494	0.0051850	0.45500	0.0048590	0.34123	0.0038940	0.44847	0.0056310
1560.0	0.53641	0.0049940	0.45632	0.0046260	0.34188	0.0042510	0.44875	0.0059520
1565.0	0.53708	0.0050850	0.45666	0.0048390	0.34206	0.0041270	0.44891	0.0068810
1570.0	0.53731	0.0055100	0.45772	0.0052420	0.34248	0.0042880	0.44933	0.0070520
1575.0	0.53745	0.0053240	0.45702	0.0050610	0.34285	0.0040710	0.45012	0.0061290
1580.0	0.53817	0.0051120	0.45854	0.0046760	0.34345	0.0037730	0.45028	0.0062030
1585.0	0.53839	0.0052270	0.45800	0.0047170	0.34363	0.0039960	0.45132	0.0060170
1590.0	0.53942	0.0047520	0.45921	0.0047070	0.34397	0.0039290	0.45136	0.0059870
1595.0	0.53999	0.0046660	0.46022	0.0043880	0.34437	0.0041660	0.45248	0.0062010
1600.0	0.54035	0.0050290	0.45967	0.0048750	0.34480	0.0040020	0.45301	0.0066600
1605.0	0.54177	0.0050160	0.46130	0.0043070	0.34503	0.0041660	0.45294	0.0064440
1610.0	0.54192	0.0051300	0.46119	0.0045960	0.34528	0.0044630	0.45349	0.0066730
1615.0	0.54184	0.0049880	0.46246	0.0045350	0.34578	0.0036370	0.45366	0.0057670
1620.0	0.54336	0.0051870	0.46213	0.0047680	0.34602	0.0038900	0.45410	0.0059640
1625.0	0.54406	0.0052970	0.46176	0.0049320	0.34613	0.0037660	0.45462	0.0065790
1630.0	0.54390	0.0052850	0.46259	0.0047860	0.34634	0.0037350	0.45412	0.0069930
1635.0	0.54484	0.0050000	0.46243	0.0042300	0.34666	0.0040160	0.45438	0.0066880
1640.0	0.54542	0.0051320	0.46330	0.0044260	0.34719	0.0041360	0.45502	0.0068210
1645.0	0.54486	0.0051710	0.46413	0.0047410	0.34727	0.0039370	0.45500	0.0063490
1650.0	0.54599	0.0053780	0.46375	0.0047480	0.34762	0.0047250	0.45561	0.0063140
1655.0	0.54588	0.0054020	0.46442	0.0052010	0.34786	0.0040720	0.45600	0.0059070
1660.0	0.54604	0.0051960	0.46470	0.0051420	0.34834	0.0038290	0.45643	0.0057530
1665.0	0.54618	0.0054940	0.46643	0.0047920	0.34841	0.0046700	0.45684	0.0062710
1670.0	0.54637	0.0054430	0.46673	0.0051300	0.34889	0.0041430	0.45705	0.0066990
1675.0	0.54651	0.0052860	0.46627	0.0049160	0.34898	0.0039680	0.45719	0.0060310
1680.0	0.54672	0.0054220	0.46655	0.0051500	0.34933	0.0042120	0.45770	0.0065700
1685.0	0.54705	0.0047900	0.46738	0.0044020	0.34947	0.0037330	0.45784	0.0061620
1690.0	0.54732	0.0052540	0.46758	0.0047650	0.34961	0.0041910	0.45783	0.0060690
1695.0	0.54761	0.0050190	0.46813	0.0047040	0.35003	0.0038180	0.45813	0.0068020
1700.0	0.54781	0.0052800	0.46788	0.0045760	0.34922	0.0046540	0.45854	0.0059220
1705.0	0.54953	0.0051120	0.46874	0.0045090	0.35025	0.0045680	0.45828	0.0058790
