Wavelength	62231 <10	sd	62231 10-20	sd	62231 20-45	sd	62231<45	sd
1555.0	0.37909		0.32102	0.0030480	0.24469	0.0024560	0.29950	0.0032310
1560.0	0.37794		0.32119	0.0033330	0.24536	0.0023190	0.29994	0.0031840
1565.0	0.37957		0.32170	0.0035770	0.24582	0.0024590	0.30073	0.0021260
1570.0	0.37917		0.32238	0.0031300	0.24630	0.0024760	0.30103	0.0022460
1575.0	0.38038		0.32303	0.0032090	0.24613	0.0025820	0.30140	0.0031060
1580.0	0.38061		0.32369	0.0033340	0.24652	0.0027410	0.30237	0.0029950
1585.0	0.38142		0.32439	0.0035690	0.24721	0.0023440	0.30232	0.0021790
1590.0	0.38253		0.32478	0.0031410	0.24769	0.0022820	0.30273	0.0021630
1595.0	0.38287		0.32500	0.0029560	0.24864	0.0024380	0.30405	0.0028230
1600.0	0.38405		0.32635	0.0031780	0.24923	0.0025910	0.30429	0.0029450
1605.0	0.38434		0.32712	0.0034630	0.24989	0.0024490	0.30600	0.0027760
1610.0	0.38561		0.32773	0.0034760	0.25041	0.0025500	0.30529	0.0028500
1615.0	0.38612		0.32855	0.0037040	0.25096	0.0023050	0.30654	0.0021330
1620.0	0.38696		0.32919	0.0034760	0.25084	0.0026290	0.30626	0.0022670
1625.0	0.38658		0.32909	0.0032080	0.25085	0.0025350	0.30749	0.0031530
1630.0	0.38789		0.33091	0.0032720	0.25089	0.0027820	0.30726	0.0031530
1635.0	0.38786		0.33097	0.0033240	0.25105	0.0027520	0.30787	0.0020920
1640.0	0.38918		0.33143	0.0031760	0.25141	0.0023560	0.30838	0.0022530
1645.0	0.38934		0.33261	0.0029330	0.25227	0.0028470	0.30962	0.0032160
1650.0	0.38924		0.33253	0.0025330	0.25335	0.0027770	0.31056	0.0025360
1655.0	0.39045		0.33383	0.0025470	0.25223	0.0030230	0.31033	0.0028470
1660.0	0.39065		0.33424	0.0024440	0.25346	0.0028900	0.31075	0.0027450
1665.0	0.39160		0.33351	0.0025710	0.25381	0.0027930	0.31244	0.0027480
1670.0	0.39255		0.33407	0.0024540	0.25390	0.0028790	0.31283	0.0027340
1675.0	0.39419		0.33459	0.0022220	0.25438	0.0026670	0.31279	0.0033590
1680.0	0.39500		0.33516	0.0021730	0.25473	0.0029150	0.31312	0.0033260
1685.0	0.39594		0.33521	0.0022740	0.25516	0.0026640	0.31428	0.0025720
1690.0	0.39687		0.33601	0.0020520	0.25576	0.0027820	0.31422	0.0026120
1695.0	0.39681		0.33636	0.0020960	0.25669	0.0026520	0.31443	0.0026120
1700.0	0.39846		0.33715	0.0021880	0.25627	0.0026890	0.31546	0.0025360
1705.0	0.39844		0.33743	0.0024230	0.25668	0.0031140	0.31619	0.0034490
1710.0	0.39933		0.33791	0.0021570	0.25656	0.0028040	0.31653	0.0033120
1715.0	0.40010		0.33851	0.0020960	0.25779	0.0026920	0.31662	0.0022560
1720.0	0.40041		0.33899	0.0021670	0.25784	0.0024820	0.31718	0.0020770
1725.0	0.40101		0.33986	0.0021710	0.25866	0.0026280	0.31749	0.0031710
1730.0	0.40104		0.34000	0.0019670	0.25842	0.0028970	0.31830	0.0030330
1735.0	0.40139		0.34028	0.0021730	0.25989	0.0030740	0.31873	0.0023220
1740.0	0.40094		0.34030	0.0022770	0.25911	0.0026770	0.31938	0.0023350
1745.0	0.40228		0.34150	0.0023510	0.26038	0.0028570	0.31896	0.0025200
1750.0	0.40218		0.34157	0.0021890	0.25983	0.0027020	0.31961	0.0022800
1755.0	0.40330		0.34255	0.0021440	0.26102	0.0027200	0.32013	0.0027040
1760.0	0.40349		0.34302	0.0021680	0.26059	0.0028720	0.32104	0.0028110
1765.0	0.40400		0.34347	0.0023000	0.26152	0.0027770	0.32100	0.0024510
1770.0	0.40482		0.34407	0.0020580	0.26230	0.0025340	0.32134	0.0021680
1775.0	0.40559		0.34402	0.0021450	0.26206	0.0026650	0.32170	0.0034280
1780.0	0.40497		0.34449	0.0022470	0.26295	0.0027580	0.32237	0.0032870
1785.0	0.40573		0.34526	0.0023010	0.26301	0.0025970	0.32261	0.0021700
1790.0	0.40609		0.34555	0.0022450	0.26286	0.0025280	0.32295	0.0020510
1795.0	0.40629		0.34633	0.0021810	0.26340	0.0027720	0.32310	0.0026630
1800.0	0.40609		0.34754	0.0021850	0.26346	0.0025970	0.32373	0.0030570
1805.0	0.40702		0.34776	0.0022180	0.26327	0.0029360	0.32463	0.0022210
1810.0	0.40686		0.34847	0.0021380	0.26412	0.0028520	0.32446	0.0024350
1815.0	0.40763		0.34862	0.0022750	0.26490	0.0025840	0.32477	0.0025040
1820.0	0.40793		0.34940	0.0020420	0.26572	0.0026350	0.32459	0.0025320
1825.0	0.40813		0.35006	0.0022980	0.26570	0.0024720	0.32586	0.0027020
1830.0	0.40870		0.35058	0.0023440	0.26607	0.0028050	0.32623	0.0030300
1835.0	0.41003		0.35070	0.0022710	0.26634	0.0024860	0.32718	0.0022770
1840.0	0.41032		0.35118	0.0025480	0.26640	0.0030720	0.32621	0.0024300
1845.0	0.41105		0.35132	0.0023020	0.26669	0.0027120	0.32825	0.0031050
1850.0	0.41241		0.35124	0.0022490	0.26680	0.0025540	0.32716	0.0026020
1855.0	0.41328		0.35136	0.0023950	0.26682	0.0029260	0.32870	0.0024400
1860.0	0.41180		0.35274	0.0024540	0.26735	0.0027520	0.32836	0.0023560
1865.0	0.41309		0.35260	0.0021920	0.26787	0.0023940	0.32932	0.0024560
1870.0	0.41476		0.35253	0.0023740	0.26803	0.0023930	0.32882	0.0025390
1875.0	0.41472		0.35314	0.0026870	0.26849	0.0030010	0.32941	0.0027120
1880.0	0.41481		0.35384	0.0024030	0.26918	0.0026880	0.33063	0.0025770
1885.0	0.41721		0.35325	0.0023210	0.26940	0.0026400	0.33057	0.0021820
1890.0	0.41617		0.35484	0.0021680	0.27023	0.0029770	0.33066	0.0023380
1895.0	0.41545		0.35600	0.0022960	0.27081	0.0030890	0.33148	0.0030000
1900.0	0.41636		0.35608	0.0020640	0.27110	0.0025530	0.33217	0.0029410
1905.0	0.41671		0.35632	0.0021720	0.27147	0.0024490	0.33181	0.0027430
1910.0	0.41655		0.35700	0.0023350	0.27177	0.0026240	0.33237	0.0028570
